File, Fichier, Fail
Edit, Édition, Sunting
View, Affichage, Paparan
Filter, Filtre, Penyaring
Image, Image, Imej
Colour, Couleur, Warna
Settings, Paramètres, Tetapan
Open, Ouvrir, Buka
Open Default, Ouvrir défaut, Buka lalai
Save, Enregistrer, Simpan
Save As, Enregistrer sous, Simpan sebagai
Exit, Quitter, Keluar
Undo, Annuler, Batalkan
Redo, Rétablir, Redo
Zoom In, Zoom avant, Zum Masuk
Zoom Out, Zoom arrière, Zum Keluar
Zoom Full, Zoom pleine page, Zum Penuh
Mean Filter, Filtre de la moyenne, Purata Penapis
Soft Blur, Flou doux, Blur Lembut
Sharpen Filter, Filtre de netteté, Penapis Tirus
Gaussian Blur, Flou gaussien, Blur Gaussian
Median Filter, Filtre de médiane, Median Penapis
Rotate, Rotation, Putar
Resize, Redimensionner, Saiz Semula
Greyscale, Niveau de gris, Greyscale
Brightness, Luminosité, Kecekapan Cahaya
Language, Langue, Bahasa
